Date,GDP,Population,CPI,WPI,Import,Export,M3,Unemployment,PPP,Inflation_Rate,Industrial_Production,Market_Capitalization,Exchange_Rate,International_Debt,Interest_Rate,quarter,Percent_Change_GDP,Recession,Year
1/1/2004,7289.465294,1126419321,62.10093888,0.544867339,1210.981236,1195.999744,2.00E+13,9.100000381,2317.342862,3.76723848,58.45721718,46.78001,43.445,7368,6,Q1,1.607399813,NO,2004
4/1/2004,7626.609975,1130896064,62.59380347,0.562093943,1222.964505,1290.975014,2.05E+13,9.300000191,2360.888859,3.88701719,61.21580472,49.2292275,45.975,7856,6,Q2,4.625094807,NO,2004
7/1/2004,7896.005832,1135372807,64.15454135,0.569896581,1541.882113,1341.691836,2.10E+13,9.5,2404.434855,4.006795901,63.64105754,51.678445,46.155,9178,6,Q3,3.532314592,NO,2004
10/1/2004,8133.007201,1139849550,64.56526185,0.574253898,1754.891547,1487.372793,2.16E+13,9.699999809,2447.980852,4.126574612,64.89072816,54.1276625,43.585,11257,6,Q4,3.001534878,NO,2004
1/1/2005,8372.871391,1144326293,64.72955005,0.558648622,1764.789418,1660.945506,2.24E+13,9.899999619,2491.526848,4.246353323,65.92649236,56.57688,43.755,13575,6,Q1,2.949268138,NO,2005
4/1/2005,8688.596733,1148766796,65.09919849,0.578603141,1895.506616,1645.801298,2.34E+13,9.924999714,2537.491846,4.721145589,64.77815299,60.24284,43.515,13959,6,Q2,3.770813228,NO,2005
7/1/2005,8908.256653,1153207299,66.53672022,0.609920275,1932.27743,1676.909031,2.46E+13,9.949999809,2583.456844,5.195937855,65.44605812,63.9088,43.99,15135,6,Q3,2.528140352,NO,2005
10/1/2005,9263.806862,1157647802,67.80995376,0.619468182,2121.75301,1890.798376,2.54E+13,9.974999905,2629.421841,5.670730122,67.25306355,67.57476,45.065,16660,6,Q4,3.991243437,NO,2005
1/1/2006,9624.662468,1162088305,67.64566556,0.606864945,2217.713285,2020.578173,2.69E+13,10,2675.386839,6.145522388,70.43238263,71.24072,44.605,20185,6,Q1,3.895327389,NO,2006
4/1/2006,9908.867124,1166487637,68.97205116,0.623478302,2462.105553,2187.446289,2.75E+13,9.724999905,2736.92558,6.201640978,71.21758166,80.903965,45.085,22542,6,Q2,2.952879199,NO,2006
7/1/2006,10452.02824,1170886968,70.67740407,0.659187473,2674.670903,2356.319519,2.93E+13,9.449999809,2798.464321,6.257759567,73.6862885,90.56721,45.955,23722,6,Q3,5.48156625,NO,2006
10/1/2006,10818.72778,1175286300,72.19327333,0.682675323,2636.504286,2240.590863,3.05E+13,9.174999714,2860.003061,6.313878156,77.17483145,100.230455,44.245,26197,6,Q4,3.508405561,NO,2006
1/1/2007,11246.0603,1179685631,72.38275699,0.681720533,2673.756792,2408.23168,3.27E+13,8.899999619,2921.541802,6.369996746,80.245928,109.8937,43.595,32555,6,Q1,3.949933196,NO,2007
4/1/2007,11648.49277,1184031751,73.33017527,0.698142932,2692.098961,2411.777986,3.36E+13,9.174999714,2928.548593,6.86545167,84.38011137,105.9803575,40.755,36193,6,Q2,3.578430662,NO,2007
7/1/2007,12012.30719,1188377870,75.4144955,0.71876641,2854.536733,2477.742288,3.58E+13,9.449999809,2935.555384,7.360906595,85.43665026,102.067015,39.735,36878,6,Q3,3.123274635,NO,2007
10/1/2007,12582.95377,1192723990,76.17243013,0.711891918,3112.246243,2677.99711,3.76E+13,9.724999905,2942.562175,7.856361519,88.19571878,98.1536725,39.415,40251,6,Q4,4.750516041,NO,2007
1/1/2008,13021.72246,1197070109,76.93036476,0.702725927,3581.049003,2783.551739,3.98E+13,10,2949.568966,8.351816444,90.45269217,94.24033,39.985,40944,6,Q1,3.487008679,NO,2008
4/1/2008,13677.37278,1201348127,79.01468498,0.743590968,3911.647934,3531.392569,4.10E+13,9.924999952,3015.079692,8.983210113,91.59359737,87.936125,42.95,41074,6,Q2,5.03505064,NO,2008
7/1/2008,14218.08599,1205626146,82.23590715,0.770707022,4595.436922,3673.305045,4.30E+13,9.849999905,3080.590418,9.614603782,91.68949592,81.63192,46.935,41998,6,Q3,3.953341177,NO,2008
10/1/2008,14013.95045,1209904164,83.94126007,0.797632119,4170.034283,3303.875896,4.50E+13,9.774999857,3146.101143,10.24599745,89.38499983,75.327715,48.455,42658,6,Q4,-1.435745572,YES,2008
1/1/2009,13707.7371,1214182182,84.13074372,0.777008641,3527.945045,2990.340877,4.75E+13,9.699999809,3211.611869,10.87739112,86.12604819,69.02351,50.945,40679,6,Q1,-2.185060887,YES,2009
4/1/2009,14710.89774,1218382763,86.02558029,0.815200267,3590.324548,3135.877905,4.96E+13,9.824999809,3278.036097,11.15611757,89.80329466,73.4820975,47.88,41423,6,Q2,7.318207467,NO,2009
7/1/2009,15647.14918,1222583343,91.89957366,0.876115912,3860.402094,3192.168026,5.14E+13,9.949999809,3344.460325,11.43484402,94.25246503,77.940685,48.04,41859,6,Q3,6.364339258,NO,2009
10/1/2009,16393.52766,1226783924,95.12079583,0.930157063,4456.881908,3355.185542,5.31E+13,10.07499981,3410.884553,11.71357047,94.91064821,82.3992725,46.68,44842,6,Q4,4.770060485,NO,2009
1/1/2010,17240.30421,1230984504,97.0156324,0.939323053,4629.771697,3511.065509,5.55E+13,10.19999981,3477.308781,11.99229692,97.99115266,86.85786,45.135,43749,6,Q1,5.165310161,NO,2010
4/1/2010,17878.31689,1235099881,97.77356703,0.985916838,4899.948308,3921.136709,5.71E+13,10.2249999,3490.593627,11.20868401,98.45110207,82.7022875,46.6,43307,6,Q2,3.700704304,NO,2010
7/1/2010,18712.74862,1239215258,101.3737565,1.021244092,4938.110869,3996.29476,5.95E+13,10.25,3503.878472,10.42507111,100.7949788,78.546715,44.92,43247,6,Q3,4.667283476,NO,2010
10/1/2010,19775.39923,1243330634,103.8370441,1.053516017,5224.907383,4580.588317,6.26E+13,10.2750001,3517.163318,9.641458202,103.396008,74.3911425,44.81,45854,6,Q4,5.678752126,NO,2010
1/1/2011,20529.71926,1247446011,105.7318806,1.055425598,5520.991024,4875.818999,6.46E+13,10.30000019,3530.448163,8.857845297,105.1983502,70.23557,44.65,47666,6,Q1,3.814436418,NO,2011
4/1/2011,21270.67704,1251481918,106.4898153,1.072993746,6270.567914,5077.457457,6.70E+13,10.4000001,3543.733009,8.971495374,105.4185805,67.36056,44.72,52863,6,Q2,3.609195872,NO,2011
7/1/2011,21677.03167,1255517825,110.6584557,1.114622619,6349.6659,5044.48234,6.91E+13,10.5,3557.017855,9.085145451,104.3157944,64.48555,48.9253,54208,6,Q3,1.910398194,NO,2011
10/1/2011,22271.42595,1259553732,112.5532923,1.120351363,7193.911743,5557.45277,7.25E+13,10.5999999,3570.3027,9.198795528,104.5864248,61.61054,53.26,51692,6,Q4,2.742046462,NO,2011
1/1/2012,23100.9806,1263589639,113.3112269,1.108702917,7341.394443,5759.917432,7.30E+13,10.69999981,3583.587546,9.312445605,104.5592887,58.73553,51.1565,55275,9.5,Q1,3.724748707,NO,2012
4/1/2012,23862.67862,1267566948,117.2903837,1.189096291,7158.674364,5768.590698,7.72E+13,10.62499976,3596.872391,9.711245032,105.2268097,59.52557,56.309,53524,9,Q2,3.297254057,NO,2012
7/1/2012,24602.30147,1271544257,121.4590242,1.216976178,8039.96694,6959.944302,7.86E+13,10.54999971,3610.157237,10.11004446,104.8943506,60.31561,52.697,54719,9,Q3,3.099496338,NO,2012
10/1/2012,25262.12071,1275521565,123.9223117,1.216594262,7987.50136,5708.813458,8.07E+13,10.47499967,3623.442083,10.50884389,106.8032604,61.10565,54.7773,56403,9,Q4,2.681941122,NO,2012
1/1/2013,26158.28664,1279498874,126.5750829,1.230152289,7898.137335,5959.721542,8.33E+13,10.39999962,3636.726928,10.90764331,107.9824394,61.89569,54.3893,59303,8.65,Q1,3.547469115,NO,2013
4/1/2013,26973.28565,1283447041,129.7963051,1.286675896,7680.135269,6411.233476,8.72E+13,10.39999962,3650.011774,9.76903112,104.2212108,62.847735,59.6995,67115,8.25,Q2,3.115643701,NO,2013
7/1/2013,27953.54322,1287395209,134.5333965,1.420346589,8273.114929,7432.84281,8.91E+13,10.39999962,3663.296619,8.630418928,106.8096519,63.79978,62.777,69007,9.8,Q3,3.634179324,NO,2013
10/1/2013,29003.08731,1291343376,136.996684,1.427984914,7834.107483,7355.624912,9.26E+13,10.39999962,3676.581465,7.491806736,106.0812139,64.751825,61.897,72651,8.75,Q4,3.754601274,NO,2013
1/1/2014,29520.64087,1295291543,135.2913311,1.338234592,8116.162319,7347.4288,9.42E+13,10.39999962,3689.866311,6.353194544,107.2790807,65.70387,60.0998,75311,9,Q1,1.784477475,NO,2014
4/1/2014,30418.56611,1299239710,138.7020369,1.401059818,7801.743893,7417.17914,9.73E+13,10.39999962,3703.151156,5.214582352,108.9719436,66.655915,60.0933,80184,9,Q2,3.041686134,NO,2014
7/1/2014,31306.22261,1303187878,143.628612,1.501312837,8682.422244,7417.32701,1.00E+14,10.39999962,3716.436002,4.07597016,108.3384408,67.60796,61.6135,86758,9,Q3,2.918140509,NO,2014
10/1/2014,31769.27938,1307136045,143.8180957,1.467131331,8012.333291,7263.572489,1.03E+14,10.39999962,3729.720847,2.937357968,107.9728541,68.560005,63.3315,87321,9,Q4,1.479120543,NO,2014
